RGN19CD,RGN19NM,mean_imd_rank,mean_imd_score,unweighted_mean_imd_rank,median_imd_rank,population_total,lsoa_count,local_authority_count,most_deprived_10_lsoa_count,most_deprived_10_lsoa_pct,most_deprived_20_lsoa_count,most_deprived_20_lsoa_pct
E12000004,East Midlands,17159.025981809456,20.351046502858853,17182.037130497476,19578.0,4670229,2774,40,229,8.25522710886806,500,18.02451333813987
E12000006,East of England,18815.785123343223,17.400604805528754,18866.00636413946,19884.0,6068635,3614,45,134,3.707802988378528,363,10.044272274488101
E12000007,London,14898.444161248177,21.80133085502288,15197.528024819028,14130.5,8662622,4835,33,107,2.213029989658738,795,16.442605997931746
E12000001,North East,12986.189818918625,28.038908583955475,12945.971031985517,10514.0,2620645,1657,12,328,19.79480989740495,571,34.459867229933614
E12000002,North West,13355.18483611973,28.08975813136124,13496.666444296197,12744.5,7166543,4497,39,967,21.503224371803427,1528,33.97820769401824
E12000008,South East,20482.670693181204,15.539922551598341,20548.747305834262,22828.0,8940404,5382,67,165,3.0657748049052396,446,8.286882199925678
E12000009,South West,18115.170778068088,18.23479573047057,18131.87930508991,19203.5,5467722,3281,30,162,4.9375190490704055,357,10.880829015544041
E12000005,West Midlands,14161.02536649815,25.347928743942443,14397.157728706625,17411.5,5747778,3487,30,551,15.801548609119587,1002,28.735302552337256
E12000003,Yorkshire and The Humber,14317.623057396631,26.041078459573527,14357.211938498644,13917.0,5383626,3317,21,641,19.32469098583057,1006,30.32861018993066
