indicator_id,indicator_label,area_code,area_name,value,unit,period,source,source_url,geography,feature_id_key,indicator_group,value_direction,interpretation,aggregation_method,period_code,period_start,observation_status
unemployment_rate_lfs,ONS regional unemployment rate,E12000004,East Midlands,5.5,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,2026-04,2026-04-01,Normal Value
unemployment_rate_lfs,ONS regional unemployment rate,E12000006,East of England,4.2,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,2026-04,2026-04-01,Normal Value
unemployment_rate_lfs,ONS regional unemployment rate,E12000007,London,6.6,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,2026-04,2026-04-01,Normal Value
unemployment_rate_lfs,ONS regional unemployment rate,E12000001,North East,5.4,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,2026-04,2026-04-01,Normal Value
unemployment_rate_lfs,ONS regional unemployment rate,E12000002,North West,5.0,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,2026-04,2026-04-01,Normal Value
unemployment_rate_lfs,ONS regional unemployment rate,E12000008,South East,3.8,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,2026-04,2026-04-01,Normal Value
unemployment_rate_lfs,ONS regional unemployment rate,E12000009,South West,4.4,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,2026-04,2026-04-01,Normal Value
unemployment_rate_lfs,ONS regional unemployment rate,E12000005,West Midlands,5.3,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,2026-04,2026-04-01,Normal Value
unemployment_rate_lfs,ONS regional unemployment rate,E12000003,Yorkshire and The Humber,5.8,% of economically active people aged 16+,Feb 2026-Apr 2026,Office for National Statistics Labour Force Survey via Nomis,https://www.nomisweb.co.uk/api/v01/dataset/NM_59_1.data.csv,rgn_2019,properties.rgn19cd,social_need,higher_is_higher_need,"Higher values mean a larger share of economically active people are unemployed. This is a labour-market need indicator, not a measure of Fusion21 impact.",Latest seasonally adjusted three-month regional Labour Force Survey estimate. The unemployment-rate denominator is employment plus unemployment.,2026-04,2026-04-01,Normal Value
